Crop,Area 2006-07_x,Area 2007-08_x,Area 2008-09_x,Area 2009-10_x,Area 2010-11_x,Yield 2006-07_x,Yield 2007-08_x,Yield 2008-09_x,Yield 2009-10_x,Yield 2010-11_x,Production,Year,Production 2006-07_x,Production 2007-08_x,Production 2008-09_x,Production 2009-10_x,Production 2010-11_x,Yield 2006-07_y,Yield 2007-08_y,Yield 2008-09_y,Yield 2009-10_y,Yield 2010-11_y,Area,Production 2006-07_y,Production 2007-08_y,Production 2008-09_y,Production 2009-10_y,Production 2010-11_y,Area 2006-07_y,Area 2007-08_y,Area 2008-09_y,Area 2009-10_y,Area 2010-11_y,Yield,State,Cost of Cultivation (`/Hectare) A2+FL,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare),Variety,Season/ duration in days,Recommended Zone,Unnamed: 4,IndexVal,TimeseriesValue
Arecanut,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,182.5,2007,182.5,184.3,185.5,184.3,184.3,108.8,108.7,109.3,105.1,105.1,167.7,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,108.8,,,,,,,,,,,
Arecanut,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,184.3,2008,182.5,184.3,185.5,184.3,184.3,108.8,108.7,109.3,105.1,105.1,169.5,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,108.7,,,,,,,,,,,
Arecanut,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,185.5,2009,182.5,184.3,185.5,184.3,184.3,108.8,108.7,109.3,105.1,105.1,169.7,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,109.3,,,,,,,,,,,
Arecanut,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,184.3,2010,182.5,184.3,185.5,184.3,184.3,108.8,108.7,109.3,105.1,105.1,175.4,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,105.1,,,,,,,,,,,
Arecanut,167.7,169.5,169.7,175.4,175.4,108.8,108.7,109.3,105.1,105.1,184.3,2011,182.5,184.3,185.5,184.3,184.3,108.8,108.7,109.3,105.1,105.1,175.4,182.5,184.3,185.5,184.3,184.3,167.7,169.5,169.7,175.4,175.4,105.1,,,,,,,,,,,
Arhar,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.09999999999999,97.0,2007,97.0,128.9,94.9,103.3,119.9,97.3,123.6,100.4,106.5,98.09999999999999,99.7,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,97.3,,,,,,,,,,,
Arhar,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.09999999999999,128.9,2008,97.0,128.9,94.9,103.3,119.9,97.3,123.6,100.4,106.5,98.09999999999999,104.3,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,123.6,,,,,,,,,,,
Arhar,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.09999999999999,94.9,2009,97.0,128.9,94.9,103.3,119.9,97.3,123.6,100.4,106.5,98.09999999999999,94.5,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,100.4,,,,,,,,,,,
Arhar,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.09999999999999,103.3,2010,97.0,128.9,94.9,103.3,119.9,97.3,123.6,100.4,106.5,98.09999999999999,97.0,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,106.5,,,,,,,,,,,
Arhar,99.7,104.3,94.5,97.0,122.2,97.3,123.6,100.4,106.5,98.09999999999999,119.9,2011,97.0,128.9,94.9,103.3,119.9,97.3,123.6,100.4,106.5,98.09999999999999,122.2,97.0,128.9,94.9,103.3,119.9,99.7,104.3,94.5,97.0,122.2,98.1,,,,,,,,,,,
Bajra,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,136.4,2007,136.4,161.5,143.9,105.4,167.9,144.3,169.7,165.4,119.0,175.8,94.5,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,144.3,,,,,,,,,,,8.4237
Bajra,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,161.5,2008,136.4,161.5,143.9,105.4,167.9,144.3,169.7,165.4,119.0,175.8,95.1,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,169.7,,,,,,,,,,,9.9701
Bajra,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,143.9,2009,136.4,161.5,143.9,105.4,167.9,144.3,169.7,165.4,119.0,175.8,87.0,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,165.4,,,,,,,,,,,8.8871
Bajra,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,105.4,2010,136.4,161.5,143.9,105.4,167.9,144.3,169.7,165.4,119.0,175.8,88.5,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,119.0,,,,,,,,,,,6.506412
Bajra,94.5,95.1,87.0,88.5,95.6,144.3,169.7,165.4,119.0,175.8,167.9,2011,136.4,161.5,143.9,105.4,167.9,144.3,169.7,165.4,119.0,175.8,95.6,136.4,161.5,143.9,105.4,167.9,94.5,95.1,87.0,88.5,95.6,175.8,,,,,,,,,,,10.3699094
Banana,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,189.3,2007,189.3,201.1,298.8,301.7,339.4,161.0,153.3,171.0,159.0,165.9,117.6,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,161.0,,,,,,,,,,,
Banana,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,201.1,2008,189.3,201.1,298.8,301.7,339.4,161.0,153.3,171.0,159.0,165.9,131.2,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,153.3,,,,,,,,,,,
Banana,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,298.8,2009,189.3,201.1,298.8,301.7,339.4,161.0,153.3,171.0,159.0,165.9,174.8,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,171.0,,,,,,,,,,,
Banana,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,301.7,2010,189.3,201.1,298.8,301.7,339.4,161.0,153.3,171.0,159.0,165.9,189.8,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,159.0,,,,,,,,,,,
Banana,117.6,131.2,174.8,189.8,204.6,161.0,153.3,171.0,159.0,165.9,339.4,2011,189.3,201.1,298.8,301.7,339.4,161.0,153.3,171.0,159.0,165.9,204.6,189.3,201.1,298.8,301.7,339.4,117.6,131.2,174.8,189.8,204.6,165.9,,,,,,,,,,,
Barley,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,88.1,2007,88.1,79.3,112.0,89.9,110.3,121.0,116.9,141.0,127.9,138.9,72.8,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,121.0,,,,,,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",nan,,1.3279
Barley,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,79.3,2008,88.1,79.3,112.0,89.9,110.3,121.0,116.9,141.0,127.9,138.9,67.9,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,116.9,,,,,,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",nan,,1.1961
Barley,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,112.0,2009,88.1,79.3,112.0,89.9,110.3,121.0,116.9,141.0,127.9,138.9,79.5,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,141.0,,,,,,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",nan,,1.6891
Barley,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,89.9,2010,88.1,79.3,112.0,89.9,110.3,121.0,116.9,141.0,127.9,138.9,70.2,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,127.9,,,,,,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",nan,,1.354658
Barley,72.8,67.9,79.5,70.2,79.4,121.0,116.9,141.0,127.9,138.9,110.3,2011,88.1,79.3,112.0,89.9,110.3,121.0,116.9,141.0,127.9,138.9,79.4,88.1,79.3,112.0,89.9,110.3,72.8,67.9,79.5,70.2,79.4,138.9,,,,,,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",nan,,1.662865
Black pepper,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,134.2,2007,134.2,91.5,92.2,99.2,101.1,102.6,87.4,72.7,95.2,103.4,130.8,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,102.6,,,,,,,,,,,
Black pepper,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,91.5,2008,134.2,91.5,92.2,99.2,101.1,102.6,87.4,72.7,95.2,103.4,104.7,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,87.4,,,,,,,,,,,
Black pepper,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,92.2,2009,134.2,91.5,92.2,99.2,101.1,102.6,87.4,72.7,95.2,103.4,126.9,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,72.7,,,,,,,,,,,
Black pepper,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,99.2,2010,134.2,91.5,92.2,99.2,101.1,102.6,87.4,72.7,95.2,103.4,104.2,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,95.2,,,,,,,,,,,
Black pepper,130.8,104.7,126.9,104.2,97.8,102.6,87.4,72.7,95.2,103.4,101.1,2011,134.2,91.5,92.2,99.2,101.1,102.6,87.4,72.7,95.2,103.4,97.8,134.2,91.5,92.2,99.2,101.1,130.8,104.7,126.9,104.2,97.8,103.4,,,,,,,,,,,
Cardamom,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,159.2,2007,159.2,135.8,157.1,159.2,162.2,170.5,174.7,179.6,185.6,196.1,93.4,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,170.5,,,,,,,,,,,
Cardamom,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,135.8,2008,159.2,135.8,157.1,159.2,162.2,170.5,174.7,179.6,185.6,196.1,77.8,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,174.7,,,,,,,,,,,
Cardamom,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,157.1,2009,159.2,135.8,157.1,159.2,162.2,170.5,174.7,179.6,185.6,196.1,87.5,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,179.6,,,,,,,,,,,
Cardamom,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,159.2,2010,159.2,135.8,157.1,159.2,162.2,170.5,174.7,179.6,185.6,196.1,85.8,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,185.6,,,,,,,,,,,
Cardamom,93.4,77.8,87.5,85.8,82.7,170.5,174.7,179.6,185.6,196.1,162.2,2011,159.2,135.8,157.1,159.2,162.2,170.5,174.7,179.6,185.6,196.1,82.7,159.2,135.8,157.1,159.2,162.2,93.4,77.8,87.5,85.8,82.7,196.1,,,,,,,,,,,
Castor seed,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,124.7,2007,124.7,172.3,191.6,165.0,220.9,136.0,150.1,151.5,153.9,171.9,91.7,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,136.0,,,,,,,,,,,
Castor seed,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,172.3,2008,124.7,172.3,191.6,165.0,220.9,136.0,150.1,151.5,153.9,171.9,114.8,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,150.1,,,,,,,,,,,
Castor seed,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,191.6,2009,124.7,172.3,191.6,165.0,220.9,136.0,150.1,151.5,153.9,171.9,126.4,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,151.5,,,,,,,,,,,
Castor seed,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,165.0,2010,124.7,172.3,191.6,165.0,220.9,136.0,150.1,151.5,153.9,171.9,107.2,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,153.9,,,,,,,,,,,
Castor seed,91.7,114.8,126.4,107.2,128.5,136.0,150.1,151.5,153.9,171.9,220.9,2011,124.7,172.3,191.6,165.0,220.9,136.0,150.1,151.5,153.9,171.9,128.5,124.7,172.3,191.6,165.0,220.9,91.7,114.8,126.4,107.2,128.5,171.9,,,,,,,,,,,
Cereals,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,164.1,2007,164.1,174.6,177.7,164.4,183.1,126.3,134.4,136.4,129.7,141.1,130.0,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,126.3,,,,,,,,,,,33.9226
Cereals,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,174.6,2008,164.1,174.6,177.7,164.4,183.1,126.3,134.4,136.4,129.7,141.1,129.9,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,134.4,,,,,,,,,,,40.7504
Cereals,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,177.7,2009,164.1,174.6,177.7,164.4,183.1,126.3,134.4,136.4,129.7,141.1,130.3,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,136.4,,,,,,,,,,,40.0379
Cereals,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,164.4,2010,164.1,174.6,177.7,164.4,183.1,126.3,134.4,136.4,129.7,141.1,126.8,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,129.7,,,,,,,,,,,33.549124
Cereals,130.0,129.9,130.3,126.8,129.8,126.3,134.4,136.4,129.7,141.1,183.1,2011,164.1,174.6,177.7,164.4,183.1,126.3,134.4,136.4,129.7,141.1,129.8,164.1,174.6,177.7,164.4,183.1,130.0,129.9,130.3,126.8,129.8,141.1,,,,,,,,,,,43.3970914
Coarse Cereals,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,138.5,2007,138.5,166.4,163.5,137.0,178.4,130.1,157.6,160.7,133.5,169.2,106.4,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,130.1,,,,,,,,,,110.0,33.9226
Coarse Cereals,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,166.4,2008,138.5,166.4,163.5,137.0,178.4,130.1,157.6,160.7,133.5,169.2,105.6,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,157.6,,,,,,,,,,115.0,40.7504
Coarse Cereals,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,163.5,2009,138.5,166.4,163.5,137.0,178.4,130.1,157.6,160.7,133.5,169.2,101.8,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,160.7,,,,,,,,,,113.0,40.0379
Coarse Cereals,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,137.0,2010,138.5,166.4,163.5,137.0,178.4,130.1,157.6,160.7,133.5,169.2,102.6,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,133.5,,,,,,,,,,123.0,33.549124
Coarse Cereals,106.4,105.6,101.8,102.6,105.4,130.1,157.6,160.7,133.5,169.2,178.4,2011,138.5,166.4,163.5,137.0,178.4,130.1,157.6,160.7,133.5,169.2,105.4,138.5,166.4,163.5,137.0,178.4,106.4,105.6,101.8,102.6,105.4,169.2,,,,,,,,,,122.0,43.3970914
Coconut,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,142.7,2007,142.7,91.4,91.4,97.5,97.7,115.5,75.3,75.3,80.7,80.8,123.5,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,115.5,,,,,,,,,,,
Coconut,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,91.4,2008,142.7,91.4,91.4,97.5,97.7,115.5,75.3,75.3,80.7,80.8,121.4,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,75.3,,,,,,,,,,,
Coconut,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,91.4,2009,142.7,91.4,91.4,97.5,97.7,115.5,75.3,75.3,80.7,80.8,121.4,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,75.3,,,,,,,,,,,
Coconut,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,97.5,2010,142.7,91.4,91.4,97.5,97.7,115.5,75.3,75.3,80.7,80.8,120.9,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,80.7,,,,,,,,,,,
Coconut,123.5,121.4,121.4,120.9,120.9,115.5,75.3,75.3,80.7,80.8,97.7,2011,142.7,91.4,91.4,97.5,97.7,115.5,75.3,75.3,80.7,80.8,120.9,142.7,91.4,91.4,97.5,97.7,123.5,121.4,121.4,120.9,120.9,80.8,,,,,,,,,,,
Coffee,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,138.0,2007,138.0,139.8,139.9,154.5,161.1,117.0,116.7,114.8,125.0,128.5,117.9,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,117.0,,,,,,,,,,,
Coffee,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,139.8,2008,138.0,139.8,139.9,154.5,161.1,117.0,116.7,114.8,125.0,128.5,119.8,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,116.7,,,,,,,,,,,
Coffee,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,139.9,2009,138.0,139.8,139.9,154.5,161.1,117.0,116.7,114.8,125.0,128.5,121.9,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,114.8,,,,,,,,,,,
Coffee,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,154.5,2010,138.0,139.8,139.9,154.5,161.1,117.0,116.7,114.8,125.0,128.5,123.7,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,125.0,,,,,,,,,,,
Coffee,117.9,119.8,121.9,123.7,125.4,117.0,116.7,114.8,125.0,128.5,161.1,2011,138.0,139.8,139.9,154.5,161.1,117.0,116.7,114.8,125.0,128.5,125.4,138.0,139.8,139.9,154.5,161.1,117.9,119.8,121.9,123.7,125.4,128.5,,,,,,,,,,,
Coriander,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,126.4,2007,126.4,167.9,131.3,128.5,261.3,159.8,177.2,134.1,144.7,199.9,79.1,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,159.8,,,,,,,,,,,
Coriander,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,167.9,2008,126.4,167.9,131.3,128.5,261.3,159.8,177.2,134.1,144.7,199.9,94.8,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,177.2,,,,,,,,,,,
Coriander,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,131.3,2009,126.4,167.9,131.3,128.5,261.3,159.8,177.2,134.1,144.7,199.9,97.9,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,134.1,,,,,,,,,,,
Coriander,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,128.5,2010,126.4,167.9,131.3,128.5,261.3,159.8,177.2,134.1,144.7,199.9,88.8,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,144.7,,,,,,,,,,,
Coriander,79.1,94.8,97.9,88.8,130.7,159.8,177.2,134.1,144.7,199.9,261.3,2011,126.4,167.9,131.3,128.5,261.3,159.8,177.2,134.1,144.7,199.9,130.7,126.4,167.9,131.3,128.5,261.3,79.1,94.8,97.9,88.8,130.7,199.9,,,,,,,,,,,
Cotton seed,121.7,125.3,125.2,134.8,149.5,152.9,169.9,146.3,146.5,181.5,186.1,2007,186.1,212.8,183.2,197.5,271.3,152.9,169.9,146.3,146.5,181.5,121.7,186.1,212.8,183.2,197.5,271.3,121.7,125.3,125.2,134.8,149.5,152.9,,,,,,,,,,,
